Keyword,Latest,Recent Avg,Previous Avg,Rise %,Demand,Viral Score,Min,Max,Volatility,Trend,Status,Raw Status,Priority,Debug Stage,Debug Reason,HTTP Explore,HTTP Multiline,Timeline Points,Value Count,First Values,Last Values,Scanned At,Hook,Caption,CTA
Solar Installer,17.0,28.1,26.7,5.3,21.5,5.3,0.0,100.0,27.7,🐸➡️ STABLE,LOW,🐸 LOW,📊 TEST,SUCCESS,OK,200,200,93,93,"0, 0, 62, 0, 0, 62, 0, 0","28, 39, 27, 30, 30, 32, 22, 17",2026-06-08 00:15:39,Low demand in Solar Installer,Solar Installer shows weak or limited activity.,Monitor Solar Installer only
Solar Company,18.0,28.3,31.1,-9.2,22.1,0.0,0.0,100.0,22.02,🐸➡️ STABLE,LOW,🐸 LOW,📊 TEST,SUCCESS,OK,200,200,93,93,"0, 55, 72, 69, 79, 73, 67, 69","28, 35, 35, 32, 32, 26, 20, 18",2026-06-08 00:16:41,Low demand in Solar Company,Solar Company shows weak or limited activity.,Monitor Solar Company only
Solar Panel Installer,8.0,12.1,12.3,-1.2,9.7,0.0,0.0,100.0,11.28,🐸➡️ STABLE,LOW,❌ LOW VALUE,❌ IGNORE,SUCCESS,OK,200,200,93,93,"0, 0, 0, 0, 0, 0, 0, 0","14, 15, 12, 18, 16, 16, 0, 8",2026-06-08 00:26:42,Low demand in Solar Panel Installer,Solar Panel Installer shows weak or limited activity.,Monitor Solar Panel Installer only
Solar Panel Installation,27.0,32.6,37.3,-12.6,29.2,0.0,0.0,100.0,31.4,🐸📉 FALLING,LOW,🐸 LOW,📊 TEST,SUCCESS,OK,200,200,93,93,"0, 66, 64, 83, 48, 0, 0, 0","37, 50, 29, 37, 29, 33, 23, 27",2026-06-08 00:31:56,Low demand in Solar Panel Installation,Solar Panel Installation shows weak or limited activity.,Monitor Solar Panel Installation only
Solar Battery Installer,0.0,0.0,14.3,-100.0,0.0,0.0,0.0,100.0,10.37,🐸📉 FALLING,LOW,❌ LOW VALUE,❌ IGNORE,SUCCESS,OK,200,200,93,93,"0, 0, 0, 0, 0, 0, 0, 0","100, 0, 0, 0, 0, 0, 0, 0",2026-06-08 00:32:59,Low demand in Solar Battery Installer,Solar Battery Installer shows weak or limited activity.,Monitor Solar Battery Installer only
Solar Maintenance,6.0,9.7,12.0,-19.0,7.5,0.0,0.0,100.0,17.14,🐸📉 FALLING,LOW,❌ LOW VALUE,❌ IGNORE,SUCCESS,OK,200,200,93,93,"0, 0, 0, 0, 37, 34, 0, 44","10, 12, 12, 11, 10, 9, 8, 6",2026-06-08 00:34:04,Low demand in Solar Maintenance,Solar Maintenance shows weak or limited activity.,Monitor Solar Maintenance only
Solar Panel Repair,0.0,32.6,49.9,-34.7,13.0,0.0,0.0,100.0,22.05,🐸📉 FALLING,LOW,🐸 LOW,📊 TEST,SUCCESS,OK,200,200,93,93,"0, 0, 0, 0, 0, 0, 0, 0","0, 0, 86, 63, 0, 79, 0, 0",2026-06-08 00:35:11,Low demand in Solar Panel Repair,Solar Panel Repair shows weak or limited activity.,Monitor Solar Panel Repair only
Solar Inverter Installer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,🐸➡️ NO DATA,NO DATA,❌ NO SEARCH DATA EMPTY TIMELINE,❌ IGNORE,MULTILINE,NO SEARCH DATA EMPTY TIMELINE,200,200,0,0,,,2026-06-08 00:36:17,Low demand in Solar Inverter Installer,Solar Inverter Installer shows weak or limited activity.,Monitor Solar Inverter Installer only
Renewable Energy Company,0.0,10.7,13.7,-21.9,4.3,0.0,0.0,100.0,13.87,🐸📉 FALLING,LOW,❌ LOW VALUE,❌ IGNORE,SUCCESS,OK,200,200,93,93,"0, 0, 0, 0, 0, 0, 0, 0","17, 14, 13, 14, 13, 14, 7, 0",2026-06-08 00:37:18,Low demand in Renewable Energy Company,Renewable Energy Company shows weak or limited activity.,Monitor Renewable Energy Company only
Air Source Heat Pump Installer,0.0,30.0,45.7,-34.4,12.0,0.0,0.0,100.0,18.92,🐸📉 FALLING,LOW,🐸 LOW,📊 TEST,SUCCESS,OK,200,200,93,93,"0, 0, 0, 0, 0, 0, 0, 0","0, 97, 47, 66, 0, 0, 0, 0",2026-06-08 00:38:22,Low demand in Air Source Heat Pump Installer,Air Source Heat Pump Installer shows weak or limited activity.,Monitor Air Source Heat Pump Installer only
